species,tribe,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,UOJ_PC1,UOJ_PC2,d13C,d15N
Ophwhi,ectod,-0.0168794557227772,-0.0265377814259777,0.0142688809549401,-0.0592438416014005,-0.0093995805852315,-0.00354414307678811,-14.547540514,7.2154109972
Oretan,oreoc,-0.0679388926170342,-0.0315566149002078,-0.0330091609675318,-0.136085756441208,-0.00627799205510993,0.00280748675328215,-18.129228262,5.3782881075
Pcybri,cypri,0.0661392960031058,-0.0155832038200501,-0.0580988003902341,0.0287555978527017,0.0424504595815957,0.0204688216806347,-21.970448914,6.5476729348
PcybrN,cypri,0.0728957357365919,-0.00984219666198492,-0.0919620393593428,0.0158908781219742,0.0419017360547524,0.0197755546990988,-21.798310143,7.5187558559
Pcynig,cypri,0.0639444775833686,-0.0156404126796859,-0.0415102633798737,0.0248385225060017,0.0458274366777435,0.0228163666284774,-20.87452631,6.9443881852
Perecc,peris,0.0335299106016324,-0.0079526135188153,-0.0137683913096303,0.0127844644608125,-0.0109519274921655,-0.0154144527270365,-19.26543372,9.2073424208
Permic,peris,0.0293630190730375,-0.00100809335289755,0.0266168653029068,0.0127442394620577,-0.0107305917117986,-0.0123246422527003,-16.135154945,9.230909871875
Peteph,troph,-0.0789903424040835,-0.00434937562624499,0.00475381445520877,-0.0878322767162373,-0.0240867019441792,-0.0082627121344463,-13.686714178,4.6855629576
Petfam,troph,-0.0880311974688044,-0.0118747545626136,0.00252927370373294,-0.120116228786745,-0.0203979199245294,-0.0135736929879752,-12.922966221,4.6986849107
Petfas,troph,-0.0533867118513672,-0.0165791063317802,-0.000378708151577106,-0.101308898126576,-0.00493966668207538,-0.00701702716062238,-14.626666837,5.2775791713
Petgia,troph,-0.0686063631983648,0.00216413795398232,-0.0338283290438465,-0.0833409847380341,-0.0252592009791562,-0.00763652443526311,-13.167944929,4.545915826
